place,x1,y1,x2,y2,x3,y3,x4,y4
"(1,1)",1192,880,1354,872,1392,1024,1220,1032
"(1,2)",1012,886,1174,880,1202,1032,1028,1042
"(1,3)",836,896,996,888,1010,1042,838,1048
"(1,4)",658,902,818,896,820,1050,650,1056
"(1,5)",486,910,642,904,632,1056,462,1062
"(1,6)",314,916,466,910,446,1058,282,1066
"(2,1)",1164,736,1318,730,1352,858,1188,866
"(2,2)",998,742,1148,736,1174,868,1010,872
"(2,3)",832,748,980,742,994,872,836,880
"(2,4)",670,758,816,752,820,880,658,890
"(2,5)",504,764,652,758,644,888,484,896
"(2,6)",346,770,492,764,472,896,316,898
"(3,1)",1138,610,1282,604,1314,716,1162,722
"(3,2)",986,618,1126,612,1146,722,996,730
"(3,3)",832,624,968,616,982,730,832,738
"(3,4)",678,632,816,626,816,738,670,744
"(3,5)",524,638,664,632,654,746,510,750
"(3,6)",374,644,510,638,494,752,350,758
"(4,1)",1120,498,1252,490,1280,590,1138,598
"(4,2)",974,506,1104,498,1124,598,984,606
"(4,3)",830,512,960,506,968,606,832,612
"(4,4)",686,520,814,514,816,614,680,620
"(4,5)",544,528,672,522,664,620,526,626
"(4,6)",402,532,530,526,514,626,376,632
"(5,1)",1102,400,1228,390,1250,482,1116,488
"(5,2)",962,410,1088,400,1104,488,972,496
"(5,3)",828,416,952,408,958,498,830,502
"(5,4)",692,422,816,418,816,504,688,510
"(5,5)",558,426,680,422,672,510,544,516
"(5,6)",424,432,546,428,532,518,402,524
"(6,1)",1084,310,1202,304,1222,384,1098,392
"(6,2)",954,320,1072,312,1088,392,962,398
"(6,3)",826,326,942,322,950,400,828,406
"(6,4)",698,332,814,326,814,408,694,412
"(6,5)",570,338,686,334,680,414,560,418
"(6,6)",444,346,560,340,546,420,426,424
"(7,1)",1070,234,1182,226,1200,298,1082,304
"(7,2)",948,242,1058,236,1072,306,954,312
"(7,3)",826,248,936,244,940,314,826,318
"(7,4)",704,256,812,250,814,320,700,326
"(7,5)",582,262,694,258,688,326,572,332
"(7,6)",464,270,572,264,560,332,446,338
