place,x1,y1,x2,y2,x3,y3,x4,y4
"(1,1)",1172,898,1330,890,1370,1038,1196,1050
"(1,2)",992,906,1152,900,1182,1054,1004,1064
"(1,3)",812,912,974,906,986,1060,812,1068
"(1,4)",634,920,794,914,794,1070,622,1074
"(1,5)",460,926,616,920,604,1074,436,1078
"(1,6)",286,930,442,926,418,1078,250,1084
"(2,1)",1144,752,1296,746,1332,876,1168,884
"(2,2)",978,758,1130,752,1150,882,990,892
"(2,3)",814,766,962,758,972,890,810,898
"(2,4)",648,772,794,766,794,898,634,904
"(2,5)",484,780,630,772,620,904,462,910
"(2,6)",322,784,468,780,446,910,290,914
"(3,1)",1122,622,1264,616,1296,732,1144,738
"(3,2)",968,630,1108,624,1126,736,972,744
"(3,3)",814,636,952,632,962,744,812,750
"(3,4)",658,642,796,638,798,752,648,758
"(3,5)",504,650,644,644,634,758,486,762
"(3,6)",354,656,490,650,470,764,324,768
"(4,1)",1102,512,1238,504,1262,604,1122,610
"(4,2)",958,518,1090,512,1106,612,964,616
"(4,3)",812,524,942,520,948,618,812,624
"(4,4)",668,530,798,526,798,624,658,630
"(4,5)",522,538,654,534,646,630,506,638
"(4,6)",380,544,508,538,492,638,354,644
"(5,1)",1084,408,1210,400,1234,492,1100,500
"(5,2)",946,416,1074,412,1090,500,956,506
"(5,3)",808,422,936,418,942,508,810,514
"(5,4)",672,428,800,422,800,516,668,522
"(5,5)",536,436,664,430,656,522,526,528
"(5,6)",400,440,528,436,514,530,382,534
"(6,1)",1068,320,1190,312,1208,396,1082,402
"(6,2)",938,328,1060,322,1072,404,944,410
"(6,3)",810,334,930,328,936,410,810,418
"(6,4)",682,340,800,336,800,416,676,422
"(6,5)",550,344,676,340,666,424,540,428
"(6,6)",426,350,548,346,530,430,408,434
"(7,1)",1056,242,1170,234,1188,306,1070,314
"(7,2)",934,250,1046,242,1056,314,940,320
"(7,3)",812,258,924,250,928,322,812,330
"(7,4)",690,264,798,258,798,328,684,334
"(7,5)",568,270,676,264,672,336,556,340
"(7,6)",450,278,556,270,544,342,430,344
